name	namecustom	mz	mzmin	mzmax	rt	rtmin	rtmax	npeaks	Bio	isotopes	adduct	pcgroup
M87T283	M87.1368T283	87.1367671088595	87.1367645267015	87.1367696910175	282.639687	282.559992	282.719382	2	2			430
M88T195	M88.0219T195	88.0219350119407	88.0219309908138	88.0219390330676	195.233838	195.08352	195.384156	2	2	[10][M]-	[M+Cl]- 53.0524 [M-H]- 89.0291	48
M88T474	M88.0397T474	88.0397154298513	88.0397127716003	88.0397180881022	473.841744	473.742024	473.941464	2	2			808
M88T419	M88.0397T419	88.0396971923753	88.0396971923753	88.0396971923753	418.75446	418.75446	418.75446	1	1		[M-2H+K]- 51.0911	18
M88T402	M88.0583T402	88.0582539001709	88.0582316192794	88.0582761810624	401.997972	401.561916	402.434028	2	2			1014
M88T461	M88.0699T461	88.0698792204229	88.0698751967409	88.069883244105	460.512531	460.120056	460.905006	2	2			1419
M88T516	M88.1063T516	88.1063318519766	88.1063239864039	88.1063397175492	515.64705	514.94136	516.35274	2	2			1348
M89T196	M89.0253T196	89.0253374625914	89.0253352632394	89.0253396619433	195.501261	195.384156	195.618366	2	2	[10][M+1]-		48
M89T368	M89.0349T368	89.0349118792722	89.0349118489138	89.0349362897487	367.952484	367.934772	368.48982	3	3			1980
M89T161	M89.0423T161	89.0422596318992	89.0422596318992	89.0422596318992	161.38329	161.38329	161.38329	1	1			1594
M89T461	M89.0553T461	89.0552580868731	89.0552434753693	89.0552629086194	460.550988	459.585228	461.37267	4	4		[M+Cl]- 54.0857 [M-H]- 90.0624 [M-H-HCOOH]- 136.068	41
M89T40	M89.0601T40	89.0600648921397	89.0600541356283	89.0600844454122	39.509784	9.3851976	65.78907	6	1			272
M89T120	M89.0601T120	89.0601008247439	89.0600546481404	89.0601109032609	120.107496	119.596686	121.141722	3	3			61
M89T86	M89.0601T86	89.0600508616466	89.060026698634	89.0600750246593	85.600116	82.925916	88.274316	2	1			2081
M89T459	M89.0733T459	89.0732854554597	89.0732854554597	89.0732854554597	458.765634	458.765634	458.765634	1	1			1461
M89T460	M89.0762T460	89.0761753458228	89.0761675038398	89.0761831878059	460.378821	460.102734	460.654908	2	2			1420
M89T233	M89.1156T233	89.1156373356132	89.1156343317079	89.1156403395185	232.533885	230.851578	234.216192	2	2	[11][M]-		1065
M89T83	M89.2327T83	89.2327415582321	89.2327415582321	89.2327415582321	83.193336	83.193336	83.193336	1	1			10
M90T195	M90.0177T195	90.0177389311719	90.0177336685964	90.0177441937473	195.233838	195.08352	195.384156	2	2		[M+Cl]- 55.0482 [M-H]- 91.0249	48
M90T961	M90.0376T961	90.0375928552957	90.0375844827576	90.0376235989166	961.21485	919.96434	982.76796	12	3			214
M90T1042	M90.0376T1042	90.0375828616728	90.0375670316367	90.0376119270803	1041.57135	1000.15032	1070.23818	12	3			2155
M90T428	M90.0554T428	90.0553676203844	90.0553498749654	90.0553853658034	428.064345	427.84398	428.28471	2	2			945
M90T396	M90.0554T396	90.0553790903141	90.0553558549886	90.0554023256395	395.855919	395.32644	396.385398	2	2	[12][M]-		69
M90T205	M90.0675T205	90.0675334875617	90.0675236858637	90.0675432892598	205.256952	203.57466	206.939244	2	2			1362
M90T155	M90.0739T155	90.0738804750282	90.0738725869162	90.0738883631403	154.607142	154.24254	154.971744	2	2			1595
M90T123	M90.0738T123	90.0738498718489	90.0738498718489	90.0738498718489	123.073182	123.073182	123.073182	1	1			1283
M90T294	M90.0917T294	90.0917104815116	90.0917104815116	90.0917104815116	294.413004	294.413004	294.413004	1	1			101
M90T515	M90.095T515	90.0949736543626	90.0949556334487	90.0949950359842	514.713798	513.871668	515.191452	4	4			38
M90T232	M90.1191T232	90.119055757384	90.1190449442232	90.1190665705448	231.731607	230.584146	232.879068	2	2	[11][M+1]-		1065
M91T194	M91.0257T194	91.0256702518748	91.0256588699496	91.0256816338	194.111688	193.85292	194.370456	2	2	[10][M+2]-		1547
M91T478	M91.0394T478	91.0393826704483	91.0393826704483	91.0393826704483	477.685362	477.685362	477.685362	1	1			814
M91T75	M91.0546T75	91.0546335965848	91.0546256943592	91.0546414988105	75.3051	74.719092	75.891108	2	2		[M-H-C2H4]- 120.093	44
M91T434_1	M91.0579T434_1	91.0578610542964	91.0578344631682	91.0578910976328	433.817322	432.75822	434.702802	3	3			1516
M91T396	M91.0587T396	91.0587181380361	91.0587088076143	91.0587274684579	396.257037	395.593848	396.920226	2	2	[12][M+1]-		69
M91T434_2	M91.0709T434_2	91.0708911538878	91.0708848910654	91.0708974167101	434.393766	434.08473	434.702802	2	2			1512
